SampleName,NOP2,NSUN2,NSUN3,NSUN4,NSUN5,NSUN6,NSUN7,DNMT1,DNMT3A,DNMT3B,TRDMT1,TET1,TET2,TET3,ALKBH1,ALYREF,YBX1,CODE,Group
GSM316675,9.28490835,9.723124618,8.733703199,7.69174548,9.931688341,7.262782992,5.037015048,10.06935461,8.447457111,8.018146585,8.108870644,6.144586588,9.483277009,9.809703384,7.268978735,9.221286524,13.30395244,LAML,Tumor
GSM316676,9.659130222,10.25374833,8.485869305,7.171155461,9.953283548,7.252288716,4.969265079,10.91055612,8.609774835,8.214255541,7.646484442,5.796576461,9.316414409,9.69650302,7.73898471,10.18783872,13.73465551,LAML,Tumor
GSM316677,9.194939929,9.946239765,9.092523701,8.556093959,10.03340356,7.581794921,5.54242351,9.71087304,8.520172136,9.33297288,8.004965764,7.001773178,9.004827822,9.874949488,7.897107377,8.903544592,13.44825501,LAML,Tumor
GSM316678,8.66821803,9.691988773,9.315226795,7.980415971,8.658581339,7.272157143,5.706237968,9.444002926,8.078857886,7.630781557,7.46090683,6.111581596,8.512477443,9.678191339,8.18760273,8.422349589,13.1861719,LAML,Tumor
GSM316679,9.636536083,9.685715014,8.451877946,7.901969428,9.343718285,7.330556989,5.777904026,8.971907262,8.144427329,8.080323238,7.327750132,5.862867337,7.951757623,9.150812127,7.776636128,8.706780606,13.46801457,LAML,Tumor
GSM316680,9.15509138,9.123271696,9.115484941,7.762444078,8.991757593,7.489106478,5.680994683,8.987938983,9.117092245,7.314604274,8.025114208,6.823259869,8.779489367,8.658548061,8.005906781,8.171287251,13.54313299,LAML,Tumor
GSM316681,9.197385433,10.7335002,9.027171722,7.347501899,9.298350682,6.883623447,5.145141738,10.06964854,7.566783833,7.632537377,7.293712712,6.203573463,9.718916357,9.672938213,8.566468247,9.033524395,13.69889398,LAML,Tumor
GSM316682,9.49885145,9.891989362,8.91167861,7.769673519,10.572653,7.541235436,5.109770525,9.903513495,10.35325828,9.244383796,7.583797348,6.219019204,8.454120922,9.135857676,8.214197835,9.567386026,13.46554084,LAML,Tumor
GSM316683,9.47192514,9.873125495,8.845943617,8.021130314,10.05050145,8.162686702,5.133325897,9.906052065,10.23991127,8.935551924,7.598821195,6.546051447,8.736466164,9.381965246,7.844101826,9.32805035,13.5060963,LAML,Tumor
GSM316684,9.259712249,9.372247208,9.487553648,7.452443692,8.536049156,7.467580675,5.074847911,9.537772565,7.304694962,7.859526811,7.055221757,5.866418207,8.553668931,9.781781393,7.683296078,8.680167448,13.59311615,LAML,Tumor
