SampleName,NOP2,NSUN2,NSUN3,NSUN4,NSUN5,NSUN6,NSUN7,DNMT1,DNMT3A,DNMT3B,TRDMT1,TET1,TET2,TET3,ALKBH1,ALYREF,YBX1,CODE,Group
GSM924440,9.67,9.97,8.92,7.88,8.75,6.02,5.14,9.82,7.07,8.03,7.13,6.29,8.65,7.86,8.82,8.51,12.62,LAML,Tumor
GSM924441,9.67,10.38,8.54,7.9,9.47,6.07,4.78,10.32,6.77,9.4,7.87,6.66,8.26,7.82,8.61,9.54,12.56,LAML,Tumor
GSM924443,9.8,10.44,8.48,7.72,9.23,6.28,5.34,10.47,7.31,8.39,7.62,7.96,8.77,8.1,8.91,8.64,12.89,LAML,Tumor
GSM924444,10.1,10.18,8.62,8.32,9.58,5.62,5.16,10.44,6.89,7.96,7.6,5.97,8.81,8.3,9.17,9.39,12.68,LAML,Tumor
GSM924445,9.86,10.11,8.67,8.1,9.08,5.83,5.63,10.06,7.79,9.41,6.84,6.36,9.28,8.16,8.42,9.58,13.01,LAML,Tumor
GSM924446,10.56,9.94,9.01,8.1,8.43,6.03,5.76,9.4,7.55,8.61,7.38,6.44,8.08,8.32,8.31,7.35,12.75,LAML,Tumor
GSM924447,10.41,9.92,8.81,8.21,8.63,6.17,5.21,10.14,7.19,8.51,7.04,6.12,7.04,8.06,8.7,8.35,12.9,LAML,Tumor
GSM924448,10.1,9.89,9.03,8.41,8.88,6.84,5.01,9.61,7.34,8.01,7.2,6.81,9.05,7.87,8.58,8.1,12.57,LAML,Tumor
GSM924449,9.67,10.12,8.95,8.49,9.08,5.53,5.72,9.72,7.66,8.61,7.45,6.15,7.38,7.89,8.12,8.92,12.58,LAML,Tumor
GSM924450,9.42,10.09,9.22,8.37,9.38,5.98,4.8,10.14,7.8,8.19,7.19,6.5,8.92,8.09,8.77,8.93,13.09,LAML,Tumor
GSM924451,10.03,9.55,8.92,8.65,8.91,6.07,4.95,9.97,7.49,8.36,7.13,6.35,8.72,8.25,8.82,8.45,12.53,LAML,Tumor
GSM924452,10.58,10.35,8.63,7.67,8.33,6.2,5.38,9.82,8.02,6.92,7.04,6.46,9.02,7.91,8.8,8.86,13.14,LAML,Tumor
GSM924453,9.95,10.16,8.74,8.83,9.78,5.64,5.38,10.58,7.62,8.86,7.93,6.9,8.3,8.01,8.3,9.76,12.91,LAML,Tumor
GSM924454,9.54,9.15,8.47,8.02,8.75,6.19,5.05,9.67,7.51,8.48,7.14,6.39,9.14,7.46,9.43,7.23,12.45,LAML,Tumor
GSM924455,10.09,9.77,8.99,7.76,9.42,6.06,5.03,10.11,8.24,8.93,7.03,6.68,8.26,7.97,8.45,8.15,12.84,LAML,Tumor
GSM924456,9.89,10.19,8.93,7.82,9.17,6.34,5.18,10.77,7.75,8.85,7.34,7.4,8.51,8.1,8.88,8.59,13.34,LAML,Tumor
GSM924457,9.81,10.23,8.87,7.98,9.6,6.09,4.92,10.67,7.92,9.4,7.89,7.5,8.85,7.81,8.67,8.83,12.96,LAML,Tumor
GSM924458,9.67,9.59,8.86,7.86,9.48,5.82,5.05,10.42,7.41,7.99,7.1,6.85,8.52,7.81,8.44,7.92,12.66,LAML,Tumor
GSM924459,10,10.06,8.86,8.1,9.06,6.02,5.01,10.3,7.15,8.65,7.2,6.81,8.68,7.89,8.45,8.65,12.91,LAML,Tumor
GSM924460,10.01,10.32,8.06,8.01,9.63,6,4.98,10.87,7.42,8.77,7.85,6.33,9.04,8.02,8.99,8.54,13.22,LAML,Tumor
GSM924461,10.26,10.22,8.42,7.91,9.1,6.57,5.22,10.24,6.95,7.11,7.15,6.35,9.96,8.07,8.76,8.5,12.93,LAML,Tumor
GSM924462,9.47,10.31,9.02,7.93,9.28,6.03,5.04,9.99,8.1,9.29,7.32,7.53,8.99,7.86,8.42,7.54,12.13,LAML,Tumor
GSM924463,9.6,9.2,10.03,7.57,8.33,6.48,4.86,9.77,7.1,8.1,6.95,6.09,8.42,8.48,9.57,6.82,12.68,LAML,Tumor
GSM924464,9.63,9.84,8.64,8.01,9.3,6.24,5.03,9.92,8.16,9.09,7.43,6.54,8.24,7.62,8.36,9.18,13.01,LAML,Tumor
GSM924465,8.63,9.55,9.85,7.9,8.87,5.95,5.17,10.04,7.34,8.46,7.14,6.6,7.66,7.66,8.16,7.3,12.53,LAML,Tumor
GSM924466,9.61,9.83,9.13,7.94,9.18,5.51,5.15,10.29,7.03,8.14,8.08,7.18,9.3,8.46,8.85,7.78,12.68,LAML,Tumor
GSM924467,9.73,10.61,8.4,8.02,9.02,5.69,5.18,10.58,7.86,8.47,8.02,5.92,8.25,7.92,8.24,8.53,12.94,LAML,Tumor
GSM924468,10.53,10.77,8.64,8.35,10.46,5.71,4.76,11.13,7.33,8.38,7.22,6.7,8.8,8.11,8.42,9.11,13.49,LAML,Tumor
GSM924469,10.63,9.72,8.86,7.37,8.6,6.71,5.24,9.44,7,7.37,7.02,6.12,9.11,7.87,8.6,6.6,11.8,LAML,Tumor
GSM924470,10.09,10.18,8.24,8.03,9.4,5.96,5.43,10.59,7.6,8.52,7.66,6.61,9.79,7.83,8.71,8.57,12.99,LAML,Tumor
GSM924471,9.8,9.72,8.19,7.69,9.64,5.73,4.87,9.17,7.56,7.77,7.02,6.1,8.64,7.93,8.23,8.69,12.62,LAML,Tumor
GSM924472,9.78,10.46,8.78,8.04,9.38,5.6,5.01,10.43,7.47,6.92,8.16,6.88,8.97,8.28,8.72,9.98,13.23,LAML,Tumor
GSM924473,10.19,10.31,8.29,8.43,9.94,6.25,5.21,9.74,7.9,9.44,7.82,7.16,9.03,7.97,8.8,8.54,12.71,LAML,Tumor
GSM924474,9.64,9.99,8.84,7.75,8.96,6.11,5.04,10.35,6.78,7.56,7.09,5.93,9.09,8.78,8.57,7.43,12.9,LAML,Tumor
GSM924475,9.63,9.74,8.97,7.46,8.8,5.62,5.74,9.85,6.85,7.23,7.74,6.17,9.6,8.54,8.97,7.3,12.28,LAML,Tumor
GSM924476,9.51,10.07,8.88,7.83,8.76,5.62,5.22,9.89,6.82,7.55,7.26,5.99,9.42,8.33,9.1,6.62,12.45,LAML,Tumor
GSM924477,10.17,10.55,8.4,8.25,9.31,5.83,5.27,10.01,7.91,8.79,7.47,5.93,8.5,8.09,8.81,8.64,13.23,LAML,Tumor
GSM924478,9.96,9.71,8.75,8.12,9.44,6.03,5.14,10.03,8.24,9.33,6.88,7.35,7.94,8,8.66,8.2,12.66,LAML,Tumor
GSM924479,9.95,10.23,8.5,8.61,9.29,5.72,5.17,10.16,7.75,9.27,7.36,5.72,9.52,7.85,8.41,8.99,12.89,LAML,Tumor
GSM924480,9.13,9.61,9.13,7.59,9.48,5.95,5.39,9.75,6.98,7.46,7.34,6.51,9.31,7.96,8.19,7.7,12.07,LAML,Tumor
GSM924481,9.64,9.12,10.45,7.28,9.52,6,5.31,10.22,6.98,7.85,7.09,6.77,9.2,8.17,9.11,6.05,11.08,LAML,Tumor
GSM924482,9.56,9.51,8.58,8.17,9.65,6.12,5.29,9.93,7.61,8.66,7.45,6.69,8.85,7.93,8.28,8.74,12.44,LAML,Tumor
GSM924483,10.04,9.85,9.18,8.75,9.69,6.34,5.41,9.82,7.95,9.77,7.09,6.61,8.7,8.37,8.76,9.07,13.16,LAML,Tumor
GSM924484,9.82,9.91,8.49,7.77,8.74,5.83,5.29,9.54,7.14,7.89,7.77,5.8,8.4,8.29,7.62,8.17,12.57,LAML,Tumor
GSM924485,9.84,10.3,9.06,8.24,8.69,5.52,5.07,9.16,7.03,7.5,7.4,6.23,10.07,8.45,8.79,8.02,12.79,LAML,Tumor
GSM924486,9.39,10.35,9.66,7.92,8.99,6.03,5.46,9.97,7.56,8.16,7.92,6.15,9.85,8.35,9.01,7.24,12.87,LAML,Tumor
GSM924487,9.96,9.82,8.66,7.51,8.82,5.64,4.59,9.21,7.11,6.88,7.19,5.86,9.63,8.01,8.37,8.32,12.02,LAML,Tumor
GSM924488,9.69,9.81,8.67,7.78,9.46,5.7,5.11,10.28,7.18,7.97,7.7,6.3,9.38,8.5,7.84,7.95,12.52,LAML,Tumor
GSM924489,9.97,10.12,9.07,7.75,9.66,5.79,5.32,10.08,7.84,9.24,7.6,7.93,9.63,8.14,9.52,7.72,12.63,LAML,Tumor
GSM924490,9.86,10.2,8.48,7.81,9.25,5.64,4.81,11.19,7.08,8.15,7.33,6.18,9.01,8.35,8.45,9.33,12.99,LAML,Tumor
GSM924491,10.32,10.62,8.3,7.8,9.12,5.5,5.03,10.16,6.89,7.86,6.96,6.22,8.12,8.36,8.62,8.27,12.99,LAML,Tumor
GSM924492,10.09,10.57,9.63,8.3,8.74,5.46,5.7,9.79,7.14,7.95,6.7,6.34,9.89,8.57,9.73,6.68,12.56,LAML,Tumor
GSM924493,9.28,9.81,8.43,8.01,9.31,5.37,4.99,10.12,7.25,8.52,7.42,6.74,8.51,7.91,8.81,7.68,12.42,LAML,Tumor
GSM924494,9.97,10.38,8.74,8.46,8.95,6.06,5.02,9.49,6.98,8.69,7.43,6.32,9.06,8.18,9.27,8.75,12.75,LAML,Tumor
GSM924495,9.22,9.36,8.88,7.08,7.45,6.34,5.84,8.62,6.54,6.41,6.93,6.48,9.83,7.81,8.15,4.78,10.58,LAML,Tumor
GSM924496,10.21,9.82,8.69,8.58,9.07,5.7,5.14,8.82,7.24,8.25,7.28,6.24,7.79,7.97,8.72,7.98,12.71,LAML,Tumor
GSM924497,10.06,10.88,8.96,8.61,9.07,6.06,5.19,10.74,7.84,9.01,8.22,8,9.44,8.01,9.56,7.95,12.71,LAML,Tumor
GSM924498,9.74,9.33,9.23,7.84,8.68,6.22,5.36,9.03,7.41,7.52,7.82,7.2,8.89,7.92,9.06,6.68,12.89,LAML,Tumor
GSM924499,9.96,9.82,9.62,7.42,8.4,6.34,5.15,9.63,6.53,7.86,7.04,6.43,8.46,7.59,9.3,5.27,11.95,LAML,Tumor
GSM924500,9.5,10.18,8.8,8.55,8.88,6.13,5.12,9.83,7.96,8.76,7.67,8.58,7.8,8.35,9.27,7.85,13.07,LAML,Tumor
GSM924501,9.69,10.8,8.98,7.98,8.73,5.58,5.3,10.19,6.99,7.49,7.1,6.47,9.86,8.56,9.48,8.52,13.06,LAML,Tumor
GSM924502,10.19,10.45,9.62,8.28,8.39,6.44,5.88,9.15,7.17,8.97,7.24,7.4,9.15,8.54,9.14,4.79,12.25,LAML,Tumor
GSM924503,8.65,9.08,10.73,7.88,7.99,5.57,5.11,9.39,6.98,6.96,6.93,6.25,6.73,8.1,8.9,5.85,12,LAML,Tumor
