Group,NOP2,NSUN2,NSUN3,NSUN4,NSUN5,NSUN6,NSUN7,DNMT1,DNMT3A,DNMT3B,TRDMT1,TET1,TET2,TET3,ALKBH1,ALYREF,YBX1,CODE,SampleName
Tumor,40.50040357,31.83969673,8.809964783,16.39986499,12.2701623,10.89026783,0.009999639,82.68092082,15.93038734,2.890062905,4.560157537,0.400007187,14.47007306,13.09995431,5.310060634,33.92924636,398.1301658,LAML,sample25
Tumor,40.59033826,31.93031362,8.970193938,16.42944899,12.31959479,11.00028392,0.009999639,82.69811583,16.2899632,3.019945171,4.56996889,0.420002294,14.60004782,13.4402928,5.380095832,34.00930408,400.1775419,LAML,sample26
Tumor,41.42027336,32.05894399,9.070241418,16.529976,12.74965982,11.03006364,0.009999639,83.40041756,16.34992105,3.030012916,4.610064991,0.430012017,15.03032206,13.84022762,5.420154036,34.12974499,400.6493703,LAML,sample27
Tumor,41.46048832,32.88040407,9.140304131,16.67960835,12.80990065,11.22988724,0.009999639,83.49875156,16.36012447,3.259967358,4.740028284,0.440015113,15.16953438,14.46004596,5.420154036,34.39097353,405.5388848,LAML,sample28
Tumor,41.94030947,33.79076964,9.159967684,16.72012488,12.9195896,11.26028848,0.019999518,84.27792458,16.37033425,3.380117141,4.829926824,0.450000207,15.24966239,14.75981014,5.509946035,34.50080656,406.8622036,LAML,sample29
Tumor,42.20862187,34.45062195,9.30976688,16.80960801,12.97973348,11.52004759,0.019999518,85.17056772,16.38055041,3.560043354,4.880078655,0.470000338,15.40051109,14.8100293,5.529845339,34.61099034,412.1130959,LAML,sample30
Tumor,42.57888062,34.92912741,9.550319149,16.80960801,13.01036125,11.62997391,0.019999518,85.85815088,16.57012909,3.709979419,4.909942736,0.470000338,15.44006119,14.86969325,5.579908526,35.75962386,415.2385352,LAML,sample31
Tumor,42.83049117,34.95092476,9.620087665,16.80960801,13.20022587,11.68978581,0.019999518,87.05066579,16.6103797,3.849911585,4.939989534,0.490001726,15.72958044,14.92028625,5.600060455,36.12085305,423.8754488,LAML,sample32
Tumor,43.13139735,35.2404163,9.68969408,16.91949653,13.24973058,11.70032502,0.019999518,88.70132409,16.6900175,3.919941182,4.99994244,0.490001726,16.09019985,14.97001364,5.619895525,36.22114306,424.4046346,LAML,sample33
Tumor,43.14036742,35.3995532,9.740203335,17.0100466,13.25983761,11.71006196,0.019999518,89.4484062,16.93005538,3.930009908,5.119909276,0.510001701,16.2099867,15.18952683,5.630034539,36.33933969,425.3175593,LAML,sample34
